case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss,stopping_validation_check_loss,empirical_validation_check_loss,training_check_loss,selected_state_sha256,analysis,rule_id,patience,max_epochs,stop_epoch,selected_epoch,best_validation_epoch,best_validation_loss,stopping_reason,restore_best,min_delta,e_theta,oracle_theta_error_l2,e_q,oracle_q_l2_error,e_m,oracle_m_l2_error,e_test,oracle_test_check_loss,e_theta_1,oracle_abs_theta_error_1,e_theta_2,oracle_abs_theta_error_2,e_validation,oracle_stopping_validation_check_loss,theta_epoch_gap,abs_theta_epoch_gap,theta_regret,theta_squared_regret,q_regret
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,max_epochs,max_epochs_500,15,500,84,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,69,31260905,31760905,1031760905,2031260905,3031260905,0.807365013756437,0.7537315819818662,0.5301850021665642,0.4861526162501001,0.5681112976768866,-0.3865838887023136,0.7333721349948179,0.2810961365223596,5.551115123125783e-17,4.783533196217604e-07,483,0.005,1,1,0.6750593185424805,1.0,-0.32494068145751953,0.32494068145751953,-0.2609114944934845,-1.0,0.7390885055065155,0.7390885055065155,0.5497290265719508,0.49363282322883606,0.5963936984195164,0.49363282322883606,0.5140291766801727,0.5497290265719508,858e3df85032e71cd03d6460193b460fad48e6ccec582b0c55a081f3329bd47f,max_epochs,max_epochs_1000,15,1000,84,69,69,0.49363282322883606,early_stopping,True,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,-556,556,0.6575383170296578,0.6293902263858734,0.0
1,linear,1,1000,800,200,10000,10000,0.5,1000,31260905,31760905,1031760905,2031260905,3031260905,0.18535855893273184,1.5588540408287233,1.5569928621557112,0.0064133540540057595,2.430025920608039,-0.00610625092910538,0.005012438432271102,2.424226772803834,0.0,4.967496547436667e-07,7000,0.005,1,1,0.846250593662262,1.0,-0.15374940633773804,0.15374940633773804,-0.8964678049087524,-1.0,0.10353219509124756,0.10353219509124756,0.31600484663199746,0.743931770324707,0.83269182302547,0.743931770324707,0.7466304807884444,0.31600484663199746,b99a9b79be0414f3408d9896b6a992ef488dc7eed0e7f8d90a389d35cb6395ec,reference,no_early_stopping,0,1000,1000,1000,69,0.49363282322883606,max_epochs,False,0.0,625,0.14982669672677923,69,0.5301850021665642,65,0.5095428565530024,69,0.5963936984195164,574,0.009799778461456299,975,0.09552919864654541,69,0.49363282322883606,375,375,0.03553186220595261,0.011909756317560749,1.026807859989147
1,linear,2,1000,800,200,10000,10000,0.5,11,31260906,31760906,1031760906,2031260906,3031260906,0.5258477182585937,0.6240515612256069,0.49305896247538433,0.220192103100648,0.3894403510681174,-0.18326265684573145,0.6012234276326719,0.24310714047730247,-5.551115123125783e-17,5.314406905654323e-07,77,0.005,1,1,0.8031186461448669,1.0,-0.19688135385513306,0.19688135385513306,-0.512400209903717,-1.0,0.48759979009628296,0.48759979009628296,0.5612867358187239,0.6317074298858643,0.6044259006318072,0.6317074298858643,0.6109487240874855,0.5612867358187239,c8d49c01a06a01f4391de50622532e5dc5cbbf3b8e9be9032f64781e849abb70,patience,patience_5,5,1000,16,11,11,0.6317074298858643,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-414,414,0.48226755958470713,0.2746165925677282,0.15125531769580114
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,patience,patience_15,15,1000,89,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,patience,patience_30,30,1000,104,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,patience,patience_50,50,1000,124,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,patience,patience_100,100,1000,174,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,patience,patience_200,200,1000,274,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,20,31260906,31760906,1031760906,2031260906,3031260906,0.47423471822614544,0.5331890269535972,0.3961178246588993,0.2036342595493885,0.2842905384637237,-0.16550773350030687,0.6784149285884794,0.1569093310124985,5.551115123125783e-17,5.110833125598901e-07,140,0.005,1,1,0.8549138903617859,1.0,-0.1450861096382141,0.1450861096382141,-0.5485040545463562,-1.0,0.4514959454536438,0.4514959454536438,0.5356039995421391,0.6297115683555603,0.5887332146512515,0.6297115683555603,0.6083937730199461,0.5356039995421391,6500d95ac60e3685c60bac873a13dfdae0fa3aa430f7f102bcc88bdd1436cbf5,max_epochs,max_epochs_25,15,25,25,20,20,0.6297115683555603,max_epochs,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-405,405,0.4306545595522589,0.22299933774099043,0.05431417987931608
1,linear,2,1000,800,200,10000,10000,0.5,46,31260906,31760906,1031760906,2031260906,3031260906,0.30814469049685383,0.4072224703415199,0.34707508501050827,0.1143411046286339,0.16583014035105006,-0.0798550651723162,0.5700446894763004,0.12046111463505153,1.3877787807814457e-17,5.04845582227631e-07,322,0.005,1,1,0.9666982889175415,1.0,-0.033301711082458496,0.033301711082458496,-0.6936600804328918,-1.0,0.30633991956710815,0.30633991956710815,0.5065953762362806,0.6189497709274292,0.5784870994490002,0.6189497709274292,0.6015263257338173,0.5065953762362806,ed599eef88cd30db15d1921d2514150af4a295d82484cfc21a57f8e0c86e0510,max_epochs,max_epochs_50,15,50,50,46,46,0.6189497709274292,max_epochs,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-379,379,0.2645645318229673,0.09305392005136072,0.005271440230925073
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,max_epochs,max_epochs_100,15,100,89,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,max_epochs,max_epochs_200,15,200,89,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,max_epochs,max_epochs_500,15,500,89,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,74,31260906,31760906,1031760906,2031260906,3031260906,0.23812630375407817,0.4932609678046528,0.3777108968219063,0.07836688174932821,0.24330638235958268,-0.08950387126545106,0.5564893402837929,0.14266552157800874,-2.7755575615628914e-17,4.05059388697282e-07,518,0.005,1,1,1.0065690279006958,1.0,0.006569027900695801,0.006569027900695801,-0.7619643211364746,-1.0,0.2380356788635254,0.2380356788635254,0.501022950521013,0.6130552887916565,0.5833278902794738,0.6130552887916565,0.5958563437756833,0.501022950521013,b233bca62c008abf2d95270be8511c9804cb91fb93d5fe6826c9be7fbc9b64d3,max_epochs,max_epochs_1000,15,1000,89,74,74,0.6130552887916565,early_stopping,True,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,-351,351,0.19454614508019163,0.054804906309538375,0.03590725204232309
1,linear,2,1000,800,200,10000,10000,0.5,1000,31260906,31760906,1031760906,2031260906,3031260906,0.10976888191210936,1.3224536401206437,1.3313446172164893,0.018925696309990234,1.7488836302683413,0.0023345816064946115,-0.002641214266035457,1.7724784897913206,0.0,5.723582923167214e-07,7000,0.005,1,1,1.023494005203247,1.0,0.02349400520324707,0.02349400520324707,-0.8927748203277588,-1.0,0.10722517967224121,0.10722517967224121,0.22714107134596173,0.8137202858924866,0.7846126528971012,0.8137202858924866,0.7961838481696948,0.22714107134596173,8a61eec716df955cf81b089bcb5e46f5394c9862638b196d2e03e39ddf7b1a25,reference,no_early_stopping,0,1000,1000,1000,74,0.6130552887916565,max_epochs,False,0.0,425,0.043580158673886524,31,0.3418036447795832,52,0.33546570431812794,46,0.5784870994490002,129,0.00016826391220092773,425,0.04240792989730835,74,0.6130552887916565,575,575,0.06618872323822284,0.010149977206193482,0.9895409724369062
